N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
127,Vancouver Canucks,1981-82,17,11,6,0,0,0,0,.000,57,50,0,3.35,2.94,--,--,29.8,35.0,--
128,Toronto Maple Leafs,1992-93,21,11,10,0,0,0,0,.000,69,63,0,3.29,3.00,16.3,76.7,34.2,30.6,0.0
129,Tampa Bay Lightning,2015-16,17,11,6,0,0,0,0,.000,48,40,0,2.82,2.35,16.1,86.6,27.8,33.3,47.9
130,Colorado Avalanche,2001-02,21,11,10,0,0,0,0,.000,54,56,0,2.57,2.67,13.0,85.5,26.7,28.0,48.7
131,Boston Bruins,1973-74,16,10,6,0,0,0,0,.000,58,44,0,3.63,2.75,--,--,34.6,30.6,--
132,San Jose Sharks,2003-04,17,10,7,0,0,0,0,.000,38,32,0,2.24,1.88,13.6,91.7,24.4,27.2,46.0
133,Detroit Red Wings,1995-96,19,10,9,0,0,0,0,.000,58,46,0,3.05,2.42,17.8,85.4,31.9,21.3,0.0
134,Chicago Blackhawks,1972-73,16,10,6,0,0,0,0,.000,60,53,0,3.75,3.31,--,--,28.9,31.1,--
135,Philadelphia Flyers,1994-95,15,10,5,0,0,0,0,.000,50,43,0,3.33,2.87,12.8,77.3,24.7,29.7,0.0
136,Dallas Stars,2007-08,18,10,8,0,0,0,0,.000,45,41,0,2.50,2.28,20.0,82.9,27.2,28.4,45.6
137,Buffalo Sabres,1997-98,15,10,5,0,0,0,0,.000,46,32,0,3.07,2.13,18.0,90.0,26.5,34.3,42.4
138,St. Louis Blues,2015-16,20,10,10,0,0,0,0,.000,57,56,0,2.85,2.80,26.3,80.0,27.5,31.0,51.0
139,Buffalo Sabres,1974-75,17,10,7,0,0,0,0,.000,53,58,0,3.12,3.41,--,--,31.3,27.0,--
140,Boston Bruins,1990-91,19,10,9,0,0,0,0,.000,60,62,0,3.16,3.26,24.0,81.5,29.9,31.0,0.0
141,St. Louis Blues,1985-86,19,10,9,0,0,0,0,.000,64,70,0,3.37,3.68,14.3,72.9,29.8,33.6,--
142,Chicago Blackhawks,1989-90,20,10,10,0,0,0,0,.000,69,65,0,3.45,3.25,16.5,79.8,31.2,28.8,0.0
